sps,test,model,run,PA,score,Cutoff,Sensitivity,Specificity
Bvio,SR,SRE,RUN2,PA1,0.985,495,89.198,99.676
Bvio,ACCURACY,SRE,RUN2,PA1,0.977,495,89.198,99.676
Bvio,BIAS,SRE,RUN2,PA1,0.906,495,89.198,99.676
Bvio,POD,SRE,RUN2,PA1,0.892,495,89.198,99.676
Bvio,CSI,SRE,RUN2,PA1,0.88,495,89.198,99.676
Bvio,ETS,SRE,RUN2,PA1,0.855,495,89.198,99.676
Bvio,KAPPA,RF,RUN2,PA1,0.975,688,97.685,99.604
Bvio,TSS,RF,RUN2,PA1,0.984,23,99.691,98.596
Bvio,ROC,RF,RUN2,PA1,0.999,NA,NA,NA
Bvio,FAR,RF,RUN2,PA1,0.992,990,95.679,99.82
Bvio,SR,RF,RUN2,PA1,0.992,990,95.679,99.82
Bvio,ACCURACY,RF,RUN2,PA1,0.992,713,97.685,99.604
Bvio,BIAS,RF,RUN2,PA1,1,461,97.84,99.496
Bvio,POD,RF,RUN2,PA1,1,3,100,0
Bvio,CSI,RF,RUN2,PA1,0.961,688,97.685,99.604
Bvio,ETS,RF,RUN2,PA1,0.952,688,97.685,99.604
Bvio,KAPPA,GLM,RUN3,PA1,0.969,941,98.302,99.208
Bvio,TSS,GLM,RUN3,PA1,0.978,697,98.92,98.848
Bvio,ROC,GLM,RUN3,PA1,0.994,NA,NA,NA
Bvio,FAR,GLM,RUN3,PA1,0.974,981,94.753,99.424
Bvio,SR,GLM,RUN3,PA1,0.974,981,94.753,99.424
Bvio,ACCURACY,GLM,RUN3,PA1,0.99,946,97.84,99.28
Bvio,BIAS,GLM,RUN3,PA1,0.994,966,96.914,99.316
Bvio,POD,GLM,RUN3,PA1,0.991,218,99.074,98.344
Bvio,CSI,GLM,RUN3,PA1,0.951,941,98.302,99.208
Bvio,ETS,GLM,RUN3,PA1,0.939,941,98.302,99.208
Bvio,KAPPA,ANN,RUN3,PA1,0.977,939,98.611,99.46
Bvio,TSS,ANN,RUN3,PA1,0.981,939,98.611,99.46
Bvio,ROC,ANN,RUN3,PA1,0.996,NA,NA,NA
Bvio,FAR,ANN,RUN3,PA1,0.983,984,96.451,99.604
Bvio,SR,ANN,RUN3,PA1,0.983,984,96.451,99.604
Bvio,ACCURACY,ANN,RUN3,PA1,0.993,939,98.611,99.46
Bvio,BIAS,ANN,RUN3,PA1,0.998,974,97.531,99.46
Bvio,POD,ANN,RUN3,PA1,0.995,12,99.537,97.948
Bvio,CSI,ANN,RUN3,PA1,0.964,939,98.611,99.46
Bvio,ETS,ANN,RUN3,PA1,0.955,939,98.611,99.46
Bvio,KAPPA,SRE,RUN3,PA1,0.927,495,90.123,99.64
Bvio,TSS,SRE,RUN3,PA1,0.898,495,90.123,99.64
Bvio,ROC,SRE,RUN3,PA1,0.949,NA,NA,NA
Bvio,FAR,SRE,RUN3,PA1,0.983,495,90.123,99.64
Bvio,SR,SRE,RUN3,PA1,0.983,495,90.123,99.64
Bvio,ACCURACY,SRE,RUN3,PA1,0.978,495,90.123,99.64
Bvio,BIAS,SRE,RUN3,PA1,0.917,495,90.123,99.64
Bvio,POD,SRE,RUN3,PA1,0.901,495,90.123,99.64
Bvio,CSI,SRE,RUN3,PA1,0.888,495,90.123,99.64
Bvio,ETS,SRE,RUN3,PA1,0.864,495,90.123,99.64
Bvio,KAPPA,RF,RUN3,PA1,0.984,395,99.074,99.604
Bvio,TSS,RF,RUN3,PA1,0.987,123,99.228,99.46
Bvio,ROC,RF,RUN3,PA1,0.999,NA,NA,NA
Bvio,FAR,RF,RUN3,PA1,0.986,960,97.685,99.676
Bvio,SR,RF,RUN3,PA1,0.986,960,97.685,99.676
Bvio,ACCURACY,RF,RUN3,PA1,0.995,395,99.074,99.604
Bvio,BIAS,RF,RUN3,PA1,0.998,667,98.148,99.604
Bvio,POD,RF,RUN3,PA1,1,2,100,0
Bvio,CSI,RF,RUN3,PA1,0.974,395,99.074,99.604
Bvio,ETS,RF,RUN3,PA1,0.968,395,99.074,99.604
Bvio,KAPPA,GLM,RUN4,PA1,0.973,940,98.765,99.244
Bvio,TSS,GLM,RUN4,PA1,0.985,496,100,98.452
Bvio,ROC,GLM,RUN4,PA1,0.998,NA,NA,NA
Bvio,FAR,GLM,RUN4,PA1,0.979,980,92.901,99.532
Bvio,SR,GLM,RUN4,PA1,0.979,980,92.901,99.532
Bvio,ACCURACY,GLM,RUN4,PA1,0.992,950,98.302,99.244
Bvio,BIAS,GLM,RUN4,PA1,0.995,970,96.914,99.388
Bvio,POD,GLM,RUN4,PA1,1,261,100,98.308
Bvio,CSI,GLM,RUN4,PA1,0.957,940,98.765,99.244
Bvio,ETS,GLM,RUN4,PA1,0.947,940,98.765,99.244
Bvio,KAPPA,ANN,RUN4,PA1,0.984,910,99.537,99.496
Bvio,TSS,ANN,RUN4,PA1,0.99,910,99.537,99.496
Bvio,ROC,ANN,RUN4,PA1,0.999,NA,NA,NA
Bvio,FAR,ANN,RUN4,PA1,0.988,985,97.84,99.712
Bvio,SR,ANN,RUN4,PA1,0.988,985,97.84,99.712
Bvio,ACCURACY,ANN,RUN4,PA1,0.995,915,99.537,99.496
Bvio,BIAS,ANN,RUN4,PA1,0.992,975,98.148,99.676
Bvio,POD,ANN,RUN4,PA1,1,65,100,98.524
Bvio,CSI,ANN,RUN4,PA1,0.974,910,99.537,99.496
Bvio,ETS,ANN,RUN4,PA1,0.968,910,99.537,99.496
Bvio,KAPPA,SRE,RUN4,PA1,0.925,495,89.352,99.748
Bvio,TSS,SRE,RUN4,PA1,0.891,495,89.352,99.748
Bvio,ROC,SRE,RUN4,PA1,0.945,NA,NA,NA
Bvio,FAR,SRE,RUN4,PA1,0.988,495,89.352,99.748
Bvio,SR,SRE,RUN4,PA1,0.988,495,89.352,99.748
Bvio,ACCURACY,SRE,RUN4,PA1,0.978,495,89.352,99.748
Bvio,BIAS,SRE,RUN4,PA1,0.904,495,89.352,99.748
Bvio,POD,SRE,RUN4,PA1,0.894,495,89.352,99.748
Bvio,CSI,SRE,RUN4,PA1,0.884,495,89.352,99.748
Bvio,ETS,SRE,RUN4,PA1,0.86,495,89.352,99.748
Bvio,KAPPA,RF,RUN4,PA1,0.985,445,99.228,99.604
Bvio,TSS,RF,RUN4,PA1,0.991,46,99.846,99.244
Bvio,ROC,RF,RUN4,PA1,1,NA,NA,NA
Bvio,FAR,RF,RUN4,PA1,0.991,980,97.994,99.784
Bvio,SR,RF,RUN4,PA1,0.991,980,97.994,99.784
Bvio,ACCURACY,RF,RUN4,PA1,0.995,642,98.92,99.676
Bvio,BIAS,RF,RUN4,PA1,1,783,98.611,99.676
Bvio,POD,RF,RUN4,PA1,1,1,100,0
Bvio,CSI,RF,RUN4,PA1,0.976,445,99.228,99.604
Bvio,ETS,RF,RUN4,PA1,0.97,445,99.228,99.604
Bvio,KAPPA,GLM,RUN5,PA1,0.968,881,98.92,99.028
Bvio,TSS,GLM,RUN5,PA1,0.979,881,98.92,99.028
Bvio,ROC,GLM,RUN5,PA1,0.997,NA,NA,NA
Bvio,FAR,GLM,RUN5,PA1,0.971,981,94.753,99.28
Bvio,SR,GLM,RUN5,PA1,0.971,981,94.753,99.28
Bvio,ACCURACY,GLM,RUN5,PA1,0.99,886,98.92,99.028
Bvio,BIAS,GLM,RUN5,PA1,0.995,971,96.914,99.172
Bvio,POD,GLM,RUN5,PA1,1,2,100,0
Bvio,CSI,GLM,RUN5,PA1,0.95,881,98.92,99.028
Bvio,ETS,GLM,RUN5,PA1,0.938,881,98.92,99.028
Bvio,KAPPA,ANN,RUN5,PA1,0.972,934,98.765,99.208
Bvio,TSS,ANN,RUN5,PA1,0.983,41,99.691,98.632
Bvio,ROC,ANN,RUN5,PA1,0.997,NA,NA,NA
Bvio,FAR,ANN,RUN5,PA1,0.975,984,95.833,99.424
Bvio,SR,ANN,RUN5,PA1,0.975,984,95.833,99.424
Bvio,ACCURACY,ANN,RUN5,PA1,0.991,944,98.611,99.244
Bvio,BIAS,ANN,RUN5,PA1,0.998,974,97.222,99.28
Bvio,POD,ANN,RUN5,PA1,1,1,100,0
Bvio,CSI,ANN,RUN5,PA1,0.955,934,98.765,99.208
Bvio,ETS,ANN,RUN5,PA1,0.945,934,98.765,99.208
Bvio,KAPPA,SRE,RUN5,PA1,0.903,495,87.037,99.496
Bvio,TSS,SRE,RUN5,PA1,0.865,495,87.037,99.496
Bvio,ROC,SRE,RUN5,PA1,0.933,NA,NA,NA
Bvio,FAR,SRE,RUN5,PA1,0.976,495,87.037,99.496
Bvio,SR,SRE,RUN5,PA1,0.976,495,87.037,99.496
Bvio,ACCURACY,SRE,RUN5,PA1,0.971,495,87.037,99.496
Bvio,BIAS,SRE,RUN5,PA1,0.892,495,87.037,99.496
Bvio,POD,SRE,RUN5,PA1,0.87,495,87.037,99.496
Bvio,CSI,SRE,RUN5,PA1,0.852,495,87.037,99.496
Bvio,ETS,SRE,RUN5,PA1,0.823,495,87.037,99.496
Bvio,KAPPA,RF,RUN5,PA1,0.979,516,98.765,99.496
Bvio,TSS,RF,RUN5,PA1,0.986,12,100,98.524
Bvio,ROC,RF,RUN5,PA1,0.999,NA,NA,NA
Bvio,FAR,RF,RUN5,PA1,0.983,970,97.068,99.604
Bvio,SR,RF,RUN5,PA1,0.983,970,97.068,99.604
Bvio,ACCURACY,RF,RUN5,PA1,0.994,516,98.765,99.496
Bvio,BIAS,RF,RUN5,PA1,1,909,97.994,99.532
Bvio,POD,RF,RUN5,PA1,1,7,100,97.912
Bvio,CSI,RF,RUN5,PA1,0.967,516,98.765,99.496
Bvio,ETS,RF,RUN5,PA1,0.959,516,98.765,99.496
Cfra,KAPPA,GLM,RUN1,PA1,0.711,980,87.755,98.883
Cfra,TSS,GLM,RUN1,PA1,0.963,87,97.959,98.379
Cfra,ROC,GLM,RUN1,PA1,0.985,NA,NA,NA
Cfra,FAR,GLM,RUN1,PA1,0.606,980,87.755,98.883
Cfra,SR,GLM,RUN1,PA1,0.606,980,87.755,98.883
Cfra,ACCURACY,GLM,RUN1,PA1,0.988,980,87.755,98.883
Cfra,BIAS,GLM,RUN1,PA1,0.551,980,87.755,98.883
Cfra,POD,GLM,RUN1,PA1,0.98,58,97.959,98.307
Cfra,CSI,GLM,RUN1,PA1,0.558,980,87.755,98.883
Cfra,ETS,GLM,RUN1,PA1,0.551,980,87.755,98.883
Cfra,KAPPA,ANN,RUN1,PA1,0.774,982,89.796,99.28
Cfra,TSS,ANN,RUN1,PA1,0.968,882,97.959,98.847
Cfra,ROC,ANN,RUN1,PA1,0.996,NA,NA,NA
Cfra,FAR,ANN,RUN1,PA1,0.688,982,89.796,99.28
Cfra,SR,ANN,RUN1,PA1,0.688,982,89.796,99.28
Cfra,ACCURACY,ANN,RUN1,PA1,0.991,982,89.796,99.28
Cfra,BIAS,ANN,RUN1,PA1,0.694,982,89.796,99.28
Cfra,POD,ANN,RUN1,PA1,1,4,100,0
Cfra,CSI,ANN,RUN1,PA1,0.638,982,89.796,99.28
Cfra,ETS,ANN,RUN1,PA1,0.632,982,89.796,99.28
Cfra,KAPPA,SRE,RUN1,PA1,0.819,495,89.796,99.496
Cfra,TSS,SRE,RUN1,PA1,0.893,495,89.796,99.496
Cfra,ROC,SRE,RUN1,PA1,0.946,NA,NA,NA
Cfra,FAR,SRE,RUN1,PA1,0.759,495,89.796,99.496
Cfra,SR,SRE,RUN1,PA1,0.759,495,89.796,99.496
Cfra,ACCURACY,SRE,RUN1,PA1,0.993,495,89.796,99.496
Cfra,BIAS,SRE,RUN1,PA1,0.816,495,89.796,99.496
Cfra,POD,SRE,RUN1,PA1,0.898,495,89.796,99.496
Cfra,CSI,SRE,RUN1,PA1,0.698,495,89.796,99.496
Cfra,ETS,SRE,RUN1,PA1,0.694,495,89.796,99.496
Cfra,KAPPA,RF,RUN1,PA1,0.829,965,85.714,99.64
Cfra,TSS,RF,RUN1,PA1,0.966,76,97.959,98.595
Cfra,ROC,RF,RUN1,PA1,0.997,NA,NA,NA
Cfra,FAR,RF,RUN1,PA1,0.82,980,83.673,99.676
Cfra,SR,RF,RUN1,PA1,0.82,980,83.673,99.676
Cfra,ACCURACY,RF,RUN1,PA1,0.994,970,85.714,99.64
Cfra,BIAS,RF,RUN1,PA1,1,990,81.633,99.676
Cfra,POD,RF,RUN1,PA1,1,16,100,0
Cfra,CSI,RF,RUN1,PA1,0.712,965,85.714,99.64
Cfra,ETS,RF,RUN1,PA1,0.707,965,85.714,99.64
Cfra,KAPPA,GLM,RUN2,PA1,0.799,979,95.918,99.207
Cfra,TSS,GLM,RUN2,PA1,0.968,924,97.959,98.847
Cfra,ROC,GLM,RUN2,PA1,0.988,NA,NA,NA
Cfra,FAR,GLM,RUN2,PA1,0.691,979,95.918,99.207
Cfra,SR,GLM,RUN2,PA1,0.691,979,95.918,99.207
Cfra,ACCURACY,GLM,RUN2,PA1,0.992,979,95.918,99.207
Cfra,BIAS,GLM,RUN2,PA1,0.612,979,95.918,99.207
Cfra,POD,GLM,RUN2,PA1,0.98,473,97.959,98.487
Cfra,CSI,GLM,RUN2,PA1,0.671,979,95.918,99.207
Cfra,ETS,GLM,RUN2,PA1,0.666,979,95.918,99.207
Cfra,KAPPA,ANN,RUN2,PA1,0.799,983,95.918,99.244
Cfra,TSS,ANN,RUN2,PA1,0.964,63,97.959,98.487
Cfra,ROC,ANN,RUN2,PA1,0.997,NA,NA,NA
Cfra,FAR,ANN,RUN2,PA1,0.691,983,95.918,99.244
Cfra,SR,ANN,RUN2,PA1,0.691,983,95.918,99.244
Cfra,ACCURACY,ANN,RUN2,PA1,0.992,983,95.918,99.244
Cfra,BIAS,ANN,RUN2,PA1,0.612,983,95.918,99.244
Cfra,POD,ANN,RUN2,PA1,1,8,100,0
Cfra,CSI,ANN,RUN2,PA1,0.671,983,95.918,99.244
Cfra,ETS,ANN,RUN2,PA1,0.666,983,95.918,99.244
Cfra,KAPPA,SRE,RUN2,PA1,0.844,495,95.918,99.46
Cfra,TSS,SRE,RUN2,PA1,0.954,495,95.918,99.46
Cfra,ROC,SRE,RUN2,PA1,0.977,NA,NA,NA
Cfra,FAR,SRE,RUN2,PA1,0.758,495,95.918,99.46
Cfra,SR,SRE,RUN2,PA1,0.758,495,95.918,99.46
Cfra,ACCURACY,SRE,RUN2,PA1,0.994,495,95.918,99.46
Cfra,BIAS,SRE,RUN2,PA1,0.735,495,95.918,99.46
Cfra,POD,SRE,RUN2,PA1,0.959,495,95.918,99.46
Cfra,CSI,SRE,RUN2,PA1,0.734,495,95.918,99.46
Cfra,ETS,SRE,RUN2,PA1,0.73,495,95.918,99.46
Cfra,KAPPA,RF,RUN2,PA1,0.827,821,89.796,99.532
Cfra,TSS,RF,RUN2,PA1,0.985,34,100,98.451
Cfra,ROC,RF,RUN2,PA1,0.997,NA,NA,NA
Cfra,FAR,RF,RUN2,PA1,0.804,990,83.673,99.64
Cfra,SR,RF,RUN2,PA1,0.804,990,83.673,99.64
Cfra,ACCURACY,RF,RUN2,PA1,0.994,930,85.714,99.604
Cfra,BIAS,RF,RUN2,PA1,0.959,990,83.673,99.64
Cfra,POD,RF,RUN2,PA1,1,24,100,98.271
Cfra,CSI,RF,RUN2,PA1,0.71,821,89.796,99.532
Cfra,ETS,RF,RUN2,PA1,0.705,821,89.796,99.532
Cfra,KAPPA,GLM,RUN3,PA1,0.709,943,89.796,98.919
Cfra,TSS,GLM,RUN3,PA1,0.925,231,93.878,98.631
Cfra,ROC,GLM,RUN3,PA1,0.966,NA,NA,NA
Cfra,FAR,GLM,RUN3,PA1,0.612,982,85.714,99.063
Cfra,SR,GLM,RUN3,PA1,0.612,982,85.714,99.063
Cfra,ACCURACY,GLM,RUN3,PA1,0.988,982,85.714,99.063
Cfra,BIAS,GLM,RUN3,PA1,0.633,982,85.714,99.063
Cfra,POD,GLM,RUN3,PA1,0.939,133,93.878,98.595
Cfra,CSI,GLM,RUN3,PA1,0.557,943,89.796,98.919
Cfra,ETS,GLM,RUN3,PA1,0.55,943,89.796,98.919
Cfra,KAPPA,ANN,RUN3,PA1,0.759,986,85.714,99.316
Cfra,TSS,ANN,RUN3,PA1,0.967,20,100,0
Cfra,ROC,ANN,RUN3,PA1,0.996,NA,NA,NA
Cfra,FAR,ANN,RUN3,PA1,0.689,986,85.714,99.316
Cfra,SR,ANN,RUN3,PA1,0.689,986,85.714,99.316
Cfra,ACCURACY,ANN,RUN3,PA1,0.991,986,85.714,99.316
Cfra,BIAS,ANN,RUN3,PA1,0.755,986,85.714,99.316
Cfra,POD,ANN,RUN3,PA1,1,20,100,0
Cfra,CSI,ANN,RUN3,PA1,0.618,986,85.714,99.316
Cfra,ETS,ANN,RUN3,PA1,0.612,986,85.714,99.316
Cfra,KAPPA,SRE,RUN3,PA1,0.756,495,77.551,99.532
Cfra,TSS,SRE,RUN3,PA1,0.771,495,77.551,99.532
Cfra,ROC,SRE,RUN3,PA1,0.885,NA,NA,NA
Cfra,FAR,SRE,RUN3,PA1,0.745,495,77.551,99.532
Cfra,SR,SRE,RUN3,PA1,0.745,495,77.551,99.532
Cfra,ACCURACY,SRE,RUN3,PA1,0.992,495,77.551,99.532
Cfra,BIAS,SRE,RUN3,PA1,0.959,495,77.551,99.532
Cfra,POD,SRE,RUN3,PA1,0.776,495,77.551,99.532
Cfra,CSI,SRE,RUN3,PA1,0.613,495,77.551,99.532
Cfra,ETS,SRE,RUN3,PA1,0.607,495,77.551,99.532
Cfra,KAPPA,RF,RUN3,PA1,0.785,912,83.673,99.496
Cfra,TSS,RF,RUN3,PA1,0.939,41,95.918,97.947
Cfra,ROC,RF,RUN3,PA1,0.986,NA,NA,NA
Cfra,FAR,RF,RUN3,PA1,0.755,990,77.551,99.568
Cfra,SR,RF,RUN3,PA1,0.755,990,77.551,99.568
Cfra,ACCURACY,RF,RUN3,PA1,0.992,912,83.673,99.496
Cfra,BIAS,RF,RUN3,PA1,1,990,77.551,99.568
Cfra,POD,RF,RUN3,PA1,0.98,31,100,0
Cfra,CSI,RF,RUN3,PA1,0.651,912,83.673,99.496
Cfra,ETS,RF,RUN3,PA1,0.645,912,83.673,99.496
Cfra,KAPPA,GLM,RUN4,PA1,0.735,969,95.918,98.883
Cfra,TSS,GLM,RUN4,PA1,0.967,959,97.959,98.775
Cfra,ROC,GLM,RUN4,PA1,0.984,NA,NA,NA
Cfra,FAR,GLM,RUN4,PA1,0.605,979,95.918,98.883
Cfra,SR,GLM,RUN4,PA1,0.605,979,95.918,98.883
Cfra,ACCURACY,GLM,RUN4,PA1,0.988,974,95.918,98.883
Cfra,BIAS,GLM,RUN4,PA1,0.449,979,95.918,98.883
Cfra,POD,GLM,RUN4,PA1,0.98,483,97.959,98.451
Cfra,CSI,GLM,RUN4,PA1,0.588,969,95.918,98.883
Cfra,ETS,GLM,RUN4,PA1,0.58,969,95.918,98.883
Cfra,KAPPA,ANN,RUN4,PA1,0.705,968,87.755,98.955
Cfra,TSS,ANN,RUN4,PA1,0.915,40,97.959,95.389
Cfra,ROC,ANN,RUN4,PA1,0.991,NA,NA,NA
Cfra,FAR,ANN,RUN4,PA1,0.6,982,81.633,99.063
Cfra,SR,ANN,RUN4,PA1,0.6,982,81.633,99.063
Cfra,ACCURACY,ANN,RUN4,PA1,0.988,968,87.755,98.955
Cfra,BIAS,ANN,RUN4,PA1,0.673,982,81.633,99.063
Cfra,POD,ANN,RUN4,PA1,1,30,100,0
Cfra,CSI,ANN,RUN4,PA1,0.551,968,87.755,98.955
Cfra,ETS,ANN,RUN4,PA1,0.544,968,87.755,98.955
Cfra,KAPPA,SRE,RUN4,PA1,0.752,495,85.714,99.28
Cfra,TSS,SRE,RUN4,PA1,0.85,495,85.714,99.28
Cfra,ROC,SRE,RUN4,PA1,0.925,NA,NA,NA
Cfra,FAR,SRE,RUN4,PA1,0.677,495,85.714,99.28
Cfra,SR,SRE,RUN4,PA1,0.677,495,85.714,99.28
Cfra,ACCURACY,SRE,RUN4,PA1,0.99,495,85.714,99.28
Cfra,BIAS,SRE,RUN4,PA1,0.735,495,85.714,99.28
Cfra,POD,SRE,RUN4,PA1,0.857,495,85.714,99.28
Cfra,CSI,SRE,RUN4,PA1,0.609,495,85.714,99.28
Cfra,ETS,SRE,RUN4,PA1,0.603,495,85.714,99.28
Cfra,KAPPA,RF,RUN4,PA1,0.785,325,91.837,99.28
Cfra,TSS,RF,RUN4,PA1,0.968,94,97.959,98.811
Cfra,ROC,RF,RUN4,PA1,0.996,NA,NA,NA
Cfra,FAR,RF,RUN4,PA1,0.76,990,77.551,99.568
Cfra,SR,RF,RUN4,PA1,0.76,990,77.551,99.568
Cfra,ACCURACY,RF,RUN4,PA1,0.992,842,81.633,99.532
Cfra,BIAS,RF,RUN4,PA1,0.98,990,77.551,99.568
Cfra,POD,RF,RUN4,PA1,1,25,100,0
Cfra,CSI,RF,RUN4,PA1,0.652,325,91.837,99.28
Cfra,ETS,RF,RUN4,PA1,0.646,325,91.837,99.28
Cfra,KAPPA,GLM,RUN5,PA1,0.685,971,93.878,98.631
Cfra,TSS,GLM,RUN5,PA1,0.981,536,100,98.055
Cfra,ROC,GLM,RUN5,PA1,0.995,NA,NA,NA
Cfra,FAR,GLM,RUN5,PA1,0.553,981,87.755,98.739
Cfra,SR,GLM,RUN5,PA1,0.553,981,87.755,98.739
Cfra,ACCURACY,GLM,RUN5,PA1,0.985,976,89.796,98.631
Cfra,BIAS,GLM,RUN5,PA1,0.449,981,87.755,98.739
Cfra,POD,GLM,RUN5,PA1,1,276,100,97.875
Cfra,CSI,GLM,RUN5,PA1,0.529,971,93.878,98.631
Cfra,ETS,GLM,RUN5,PA1,0.521,971,93.878,98.631
Cfra,KAPPA,ANN,RUN5,PA1,0.717,953,95.918,98.775
Cfra,TSS,ANN,RUN5,PA1,0.963,265,97.959,98.307
Cfra,ROC,ANN,RUN5,PA1,0.995,NA,NA,NA
Cfra,FAR,ANN,RUN5,PA1,0.592,983,85.714,98.955
Cfra,SR,ANN,RUN5,PA1,0.592,983,85.714,98.955
Cfra,ACCURACY,ANN,RUN5,PA1,0.987,968,89.796,98.811
Cfra,BIAS,ANN,RUN5,PA1,0.551,983,85.714,98.955
Cfra,POD,ANN,RUN5,PA1,1,6,100,0
Cfra,CSI,ANN,RUN5,PA1,0.566,953,95.918,98.775
Cfra,ETS,ANN,RUN5,PA1,0.559,953,95.918,98.775
Cfra,KAPPA,SRE,RUN5,PA1,0.755,495,83.673,99.352
Cfra,TSS,SRE,RUN5,PA1,0.83,495,83.673,99.352
Cfra,ROC,SRE,RUN5,PA1,0.915,NA,NA,NA
Cfra,FAR,SRE,RUN5,PA1,0.695,495,83.673,99.352
Cfra,SR,SRE,RUN5,PA1,0.695,495,83.673,99.352
Cfra,ACCURACY,SRE,RUN5,PA1,0.991,495,83.673,99.352
Cfra,BIAS,SRE,RUN5,PA1,0.796,495,83.673,99.352
Cfra,POD,SRE,RUN5,PA1,0.837,495,83.673,99.352
Cfra,CSI,SRE,RUN5,PA1,0.612,495,83.673,99.352
Cfra,ETS,SRE,RUN5,PA1,0.606,495,83.673,99.352
Cfra,KAPPA,RF,RUN5,PA1,0.762,735,83.673,99.388
Cfra,TSS,RF,RUN5,PA1,0.954,30,100,0
Cfra,ROC,RF,RUN5,PA1,0.995,NA,NA,NA
Cfra,FAR,RF,RUN5,PA1,0.714,882,81.633,99.424
Cfra,SR,RF,RUN5,PA1,0.714,882,81.633,99.424
Cfra,ACCURACY,RF,RUN5,PA1,0.991,750,83.673,99.388
Cfra,BIAS,RF,RUN5,PA1,0.959,990,73.469,99.46
Cfra,POD,RF,RUN5,PA1,1,30,100,0
Cfra,CSI,RF,RUN5,PA1,0.621,735,83.673,99.388
Cfra,ETS,RF,RUN5,PA1,0.615,735,83.673,99.388
Cint,KAPPA,GLM,RUN1,PA1,0.965,765,99.083,98.014
Cint,TSS,GLM,RUN1,PA1,0.971,765,99.083,98.014
Cint,ROC,GLM,RUN1,PA1,0.996,NA,NA,NA
Cint,FAR,GLM,RUN1,PA1,0.982,979,93.644,99.061
Cint,SR,GLM,RUN1,PA1,0.982,979,93.644,99.061
Cint,ACCURACY,GLM,RUN1,PA1,0.984,765,99.083,98.014
Cint,BIAS,GLM,RUN1,PA1,1,944,97.313,98.52
Cint,POD,GLM,RUN1,PA1,0.999,2,100,0
Cint,CSI,GLM,RUN1,PA1,0.956,765,99.083,98.014
Cint,ETS,GLM,RUN1,PA1,0.933,765,99.083,98.014
Cint,KAPPA,ANN,RUN1,PA1,0.968,632,98.82,98.303
Cint,TSS,ANN,RUN1,PA1,0.972,632,98.82,98.303
Cint,ROC,ANN,RUN1,PA1,0.991,NA,NA,NA
Cint,FAR,ANN,RUN1,PA1,0.978,980,96.723,98.773
Cint,SR,ANN,RUN1,PA1,0.978,980,96.723,98.773
Cint,ACCURACY,ANN,RUN1,PA1,0.985,652,98.755,98.339
Cint,BIAS,ANN,RUN1,PA1,0.999,970,97.641,98.664
Cint,POD,ANN,RUN1,PA1,0.995,6,100,0
Cint,CSI,ANN,RUN1,PA1,0.959,632,98.82,98.303
Cint,ETS,ANN,RUN1,PA1,0.937,632,98.82,98.303
Cint,KAPPA,SRE,RUN1,PA1,0.873,495,85.583,99.206
Cint,TSS,SRE,RUN1,PA1,0.848,495,85.583,99.206
Cint,ROC,SRE,RUN1,PA1,0.924,NA,NA,NA
Cint,FAR,SRE,RUN1,PA1,0.983,495,85.583,99.206
Cint,SR,SRE,RUN1,PA1,0.983,495,85.583,99.206
Cint,ACCURACY,SRE,RUN1,PA1,0.944,495,85.583,99.206
Cint,BIAS,SRE,RUN1,PA1,0.87,495,85.583,99.206
Cint,POD,SRE,RUN1,PA1,0.856,495,85.583,99.206
Cint,CSI,SRE,RUN1,PA1,0.844,495,85.583,99.206
Cint,ETS,SRE,RUN1,PA1,0.775,495,85.583,99.206
Cint,KAPPA,RF,RUN1,PA1,0.975,234,99.148,98.7
Cint,TSS,RF,RUN1,PA1,0.978,234,99.148,98.7
Cint,ROC,RF,RUN1,PA1,0.998,NA,NA,NA
Cint,FAR,RF,RUN1,PA1,0.993,989,97.051,99.531
Cint,SR,RF,RUN1,PA1,0.993,989,97.051,99.531
Cint,ACCURACY,RF,RUN1,PA1,0.989,425,98.886,98.845
Cint,BIAS,RF,RUN1,PA1,0.999,858,98.427,99.097
Cint,POD,RF,RUN1,PA1,0.998,2,100,0
Cint,CSI,RF,RUN1,PA1,0.969,234,99.148,98.7
Cint,ETS,RF,RUN1,PA1,0.952,234,99.148,98.7
Cint,KAPPA,GLM,RUN2,PA1,0.971,868,99.148,98.375
Cint,TSS,GLM,RUN2,PA1,0.977,545,99.607,98.051
Cint,ROC,GLM,RUN2,PA1,0.997,NA,NA,NA
Cint,FAR,GLM,RUN2,PA1,0.981,978,94.954,98.989
Cint,SR,GLM,RUN2,PA1,0.981,978,94.954,98.989
Cint,ACCURACY,GLM,RUN2,PA1,0.986,868,99.148,98.375
Cint,BIAS,GLM,RUN2,PA1,1,958,97.903,98.773
Cint,POD,GLM,RUN2,PA1,0.999,52,99.869,97.148
Cint,CSI,GLM,RUN2,PA1,0.963,868,99.148,98.375
Cint,ETS,GLM,RUN2,PA1,0.943,868,99.148,98.375
Cint,KAPPA,ANN,RUN2,PA1,0.975,721,99.476,98.484
Cint,TSS,ANN,RUN2,PA1,0.98,721,99.476,98.484
Cint,ROC,ANN,RUN2,PA1,0.996,NA,NA,NA
Cint,FAR,ANN,RUN2,PA1,0.986,981,94.561,99.17
Cint,SR,ANN,RUN2,PA1,0.986,981,94.561,99.17
Cint,ACCURACY,ANN,RUN2,PA1,0.988,731,99.476,98.484
Cint,BIAS,ANN,RUN2,PA1,0.998,951,97.51,98.736
