sps,test,model,score,Cutoff,Sensitivity,Specificity
Atam,BIAS,GAM,1,738,93.07,96.97
Atam,POD,GLM,1,17,100,0
Atam,POD,ANN,0.99,30,100,0
Atam,POD,RF,1,3,100,0
Atam,POD,GAM,1,14,100,0
Atam,CSI,GLM,0.87,814,92.83,96.8
Atam,CSI,ANN,0.86,696,93.02,96.58
Atam,CSI,RF,0.94,646,96.58,99.01
Atam,CSI,GAM,0.88,855,92.75,97.86
Atam,ETS,GLM,0.81,814,92.83,96.8
Atam,ETS,ANN,0.81,696,93.02,96.58
Atam,ETS,RF,0.92,646,96.58,99.01
Atam,ETS,GAM,0.84,865,92.55,97.96
Aton,KAPPA,GLM,0.96,860,98.07,98.53
Aton,KAPPA,ANN,0.95,830,97.4,98.07
Aton,KAPPA,RF,0.99,620,99.06,99.68
Aton,KAPPA,GAM,0.97,849,98.07,98.74
Aton,TSS,GLM,0.97,810,98.33,98.35
Aton,TSS,ANN,0.96,516,98.76,97.21
Aton,TSS,RF,0.99,498,99.16,99.61
Aton,TSS,GAM,0.97,645,98.73,98.28
Aton,ROC,GLM,0.99,NA,NA,NA
Aton,ROC,ANN,0.99,NA,NA,NA
Aton,ROC,RF,1,NA,NA,NA
Aton,ROC,GAM,1,NA,NA,NA
Aton,FAR,GLM,0.98,978,87.39,99.4
Aton,FAR,ANN,0.98,977,88.93,99.16
Aton,FAR,RF,1,971,98.08,99.87
Aton,FAR,GAM,0.99,980,91.65,99.43
Aton,SR,GLM,0.98,978,87.39,99.4
Aton,SR,ANN,0.98,977,88.93,99.16
Aton,SR,RF,1,971,98.08,99.87
Aton,SR,GAM,0.99,980,91.65,99.43
Aton,ACCURACY,GLM,0.98,860,98.07,98.53
Aton,ACCURACY,ANN,0.98,860,96.96,98.24
Aton,ACCURACY,RF,0.99,675,98.98,99.71
Aton,ACCURACY,GAM,0.99,910,97.89,98.84
Aton,BIAS,GLM,1,896,97,98.7
Aton,BIAS,ANN,1,897,96.19,98.32
Aton,BIAS,RF,1,507,99.08,99.59
Aton,BIAS,GAM,1,930,97.52,98.88
Aton,POD,GLM,1,9,99.88,55.35
Aton,POD,ANN,1,7,100,0
Aton,POD,RF,1,1,100,0
Aton,POD,GAM,1,4,100,0
Aton,CSI,GLM,0.95,860,98.07,98.53
Aton,CSI,ANN,0.94,775,97.73,97.91
Aton,CSI,RF,0.98,620,99.06,99.68
Aton,CSI,GAM,0.95,849,98.07,98.74
Aton,ETS,GLM,0.93,860,98.07,98.53
Aton,ETS,ANN,0.91,830,97.4,98.07
Aton,ETS,RF,0.98,620,99.06,99.68
Aton,ETS,GAM,0.93,849,98.07,98.74
Bsch,KAPPA,GLM,0.96,608,99.05,97.03
Bsch,KAPPA,ANN,0.96,323,99.44,96.92
Bsch,KAPPA,RF,0.98,536,99.42,99
Bsch,KAPPA,GAM,0.96,303,99.35,96.85
Bsch,TSS,GLM,0.96,608,99.05,97.03
Bsch,TSS,ANN,0.96,426,99.28,97.08
Bsch,TSS,RF,0.98,536,99.42,99
Bsch,TSS,GAM,0.96,303,99.35,96.85
Bsch,ROC,GLM,0.99,NA,NA,NA
Bsch,ROC,ANN,1,NA,NA,NA
Bsch,ROC,RF,1,NA,NA,NA
Bsch,ROC,GAM,1,NA,NA,NA
Bsch,FAR,GLM,0.99,976,89.58,98.67
Bsch,FAR,ANN,0.99,980,89.58,99.15
Bsch,FAR,RF,1,983,98.09,99.6
Bsch,FAR,GAM,0.99,978,91.06,98.82
Bsch,SR,GLM,0.99,976,89.58,98.67
Bsch,SR,ANN,0.99,980,89.58,99.15
Bsch,SR,RF,1,983,98.09,99.6
Bsch,SR,GAM,0.99,978,91.06,98.82
Bsch,ACCURACY,GLM,0.98,596,99.05,97.03
Bsch,ACCURACY,ANN,0.98,310,99.44,96.92
Bsch,ACCURACY,RF,0.99,480,99.47,98.94
Bsch,ACCURACY,GAM,0.98,303,99.35,96.85
Bsch,BIAS,GLM,1,849,97.79,97.49
Bsch,BIAS,ANN,1,846,98.05,97.78
Bsch,BIAS,RF,1,679,99.2,99.11
Bsch,BIAS,GAM,1,831,97.98,97.75
