Species,Taxa,Clas,Code,var1,var2,var3,var4,var5,var6
Amphibalanus eburneus,Crustacea,ZB,Aebu_near,Bottom.Temp.max,SST.min,landdist_clip,,,
Botrylloides violaceus,Tunicata,ZB,Bvio_near,Bottom.Temp.max,SST.mean,landdist_clip,,,
Botryllus schlosseri,Tunicata,ZB,Bsch_near,Bottom.Temp.max,SSS.min,depthclip,,,
Carcinus maenas,Crustacea,ZB,Cmae_near,Bottom.Temp.max,SST.mean,depthclip,,,
Chionoecetes opilio,Crustacea,ZB,Copi_near,SST.mean,SSS.max,Ice.thick.Mean,depthclip,,
Ciona intestinalis,Tunicata,ZB,cint_near,Bottom.Temp.max,SSS.min,landdist_clip,,,
Littorina littorea,Mollusca,ZB,Llit_near,Bottom.Temp.max,SST.max,SSS.min,depthclip,,
Membranipora membranacea,Bryozoa,ZB,Mmem_near,Bottom.Temp.max,depthclip,landdist_clip,,,
Molgula manhattensis,Tunicata,ZB,Mman_near,Bottom.Temp.max,Bottom.Salinity.min,depthclip,landdist_clip,,
Mya arenaria,Mollusca,ZB,Mare_near,Bottom.Temp.max,Bottom.Salinity.min,depthclip,,,
Paralithodes camtschaticus,Crustacea,ZB,Pcam_near,Bottom.Temp.max,SST.mean,depthclip,,,
Codium fragile spp. fragile,Chlorophyta,PB,cfra_near,Bottom.Temp.max,SST.mean,Ice.thick.Mean,landdist_clip,,
Dumontia contorta,Rhodophyta,PB,Dcon_near,Bottom.Temp.max,depthclip,landdist_clip,Iron.min,,
Sargassum muticum,Phaeophycea,PB,Smut_near,Bottom.Temp.mean,landdist_clip,Nitrate.max,,,
Undaria pinnatifida,Phaeophycea,PB,Upin_near,Bottom.Temp.max,Ice.thick.Mean,depthclip,landdist_clip,Diss.O2.max,calcite_clip
Acartia (Acanthacartia) tonsa,Copepoda,ZP,Aton_near,SST.mean,SSS.min,depthclip,landdist_clip,,
Aurelia limbata,Cnidaria,ZP,Alim_near,SST.mean,Ice.thick.Mean,depthclip,ph_clip,,
Mnemiopsis leidyi,Ctenophora,ZP,Mlei_near,SST.max,SSS.min,Ice.thick.Mean,,,
Alexandrium tamarense,Dinoflagellata,PP,Atam_near,SST.mean,SSS.min,landdist_clip,Iron.min,Nitrate.Mean,
Dinophysis caudata,Dinoflagellata,PP,Dcau_near,SST.mean,landdist_clip,ph_clip,Iron.max,Phosphate.Mean,
Dinophysis dens,Dinoflagellata,PP,Dden_near,SST.max,landdist_clip,Iron.min,Nitrate.max,,
Gonyaulax polygramma,Dinoflagellata,PP,Gpol_near,SST.mean,landdist_clip,landdist_clip,ph_clip,Iron.Mean,Silicate.Mean
Kryptoperidinium triquetrum,Dinoflagellata,PP,Htri_near,SST.mean,SSS.max,landdist_clip,Iron.min,,
